account_name,campaign_name,adset_name,ad_name,spend,impressions,inline_link_clicks,ctr_pct,cpc,cpm,landing_page_views,cost_per_lpv,connect_rate,checkouts,cost_per_checkout,purchases,cost_per_purchase,ad_id,campaign_id,adset_id
CONTA - DM,[K] [MS] [ABO] [LEAD13] [ESCALA] [MELHORES-PUBLICOS] - 08012026,AUTO_COLD_PADRAO_MUNDO,MSAD260 (MSAD208 - E3),636.1,22134.0,449.0,2.028553,1.009683,28.738592,401.0,1.586284,0.8930957683741648,33.0,19.275758,13.0,48.930769,120239782743610546,120239780877620546,120239780879360546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [TICKET] [147-V] [MIX] [EMPODERA] - 02022026,AUTO_COLD_EMPODERAMENTO,MISTO,4619.13,145265.0,4239.0,2.918115,0.745622,31.797955,3978.0,1.161169,0.9384288747346072,189.0,24.439841,94.0,49.139681,120240784796180546,120240784796050546,120240784796080546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [TICKET] [147-V] [MELHORES-ADS-PUBLICOS- 16022026,AUTO_COLD_EMPODERAMENTO,MSAD481,688.51,21368.0,502.0,2.349307,0.9711,32.221546,476.0,1.44645,0.9482071713147411,20.0,34.4255,14.0,49.179286,120241295006150546,120241294362850546,120241294362980546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [TESTE] [TICKET] [147-V] [MIX] - 24012026,AUTO_COLD_PADRAO_MUNDO,MISTO2,345.12,13355.0,269.0,2.014227,0.922781,25.842007,248.0,1.391613,0.9219330855018587,9.0,38.346667,7.0,49.302857,120240732997110546,120240468045440546,120240468046450546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [MELHORES-PUBLICOS] - 14012026,AUTO_COLD_EMPODERAMENTO,MSAD175,98.81,1889.0,75.0,3.970355,0.874425,52.3081,70.0,1.411571,0.9333333333333333,2.0,49.405,2.0,49.405,120240118224920546,120240116900730546,120240117023300546
CONTA - DM[2],[K] [MS] [CBO] [LEAD13] [97] [TESTE] [1-10] - MSAD260 (MSAD208 - E3) - 29012026,AUTO_COLD_PADRAO_INTERESSES_MISTO,MSAD260 (MSAD208 - E3),98.85,3078.0,65.0,2.111761,1.074457,32.11501,57.0,1.734211,0.8769230769230769,3.0,32.95,2.0,49.425,120241857459980666,120241857459890666,120241857460000666
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [TICKET] [97] [MELHORES-ADS-PUBLICOS- 16022026,AUTO_COLD_EMPODERAMENTO,MSAD175,99.01,3883.0,126.0,3.244914,0.513005,25.498326,114.0,0.868509,0.9047619047619048,4.0,24.7525,2.0,49.505,120241295208700546,120241293345410546,120241293345530546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-ADS] - 09122024,AUTO_COLD_PADRAO_MUNDO,AD03,148.53,6151.0,124.0,2.015932,0.900182,24.147293,116.0,1.280431,0.9354838709677419,4.0,37.1325,3.0,49.51,120238305857210546,120238292469090546,120238305856940546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-PUBLICOS] - 20122025,AUTO_COLD_PADRAO_MUNDO,AD20,99.46,3642.0,72.0,1.976936,0.965631,27.309171,66.0,1.50697,0.9166666666666666,3.0,33.153333,2.0,49.73,120239017479260546,120239017285250546,120239017297270546
CONTA - DM,[K] [MS] [ABO] [LEAD13] [97][TESTE] [ADS] - 05022026,AUTO_PADRAO_INTERESSES_MISTO,MSAD481,2188.91,73912.0,1614.0,2.183678,0.967688,29.615083,1536.0,1.425072,0.9516728624535316,84.0,26.058452,44.0,49.747955,120240910974870546,120240909302010546,120240910974910546
CONTA - DM[2],[K] [MS] [CBO] [LEAD13] [97] [TESTE] [1-10] - MSAD260 (MSAD208 - E3) - 29012026,AUTO_COLD_PADRAO_INTERESSES_MISTO,MSAD260 (MSAD208 - E3),348.41,11368.0,220.0,1.935257,1.033858,30.648311,207.0,1.68314,0.9409090909090909,7.0,49.772857,7.0,49.772857,120241857456530666,120241857442310666,120241857442330666
CONTA - DM,[K] [MS] [CBO] [LEAD13] [TESTE] [TICKET] [147-V] [MIX] - 28012026 [engaj],AUTO_COLD_PADRAO_MUNDO,MISTO2,149.66,6218.0,97.0,1.559987,1.116866,24.068832,88.0,1.700682,0.9072164948453608,3.0,49.886667,3.0,49.886667,120240732834040546,120240623539500546,120240623539650546
CONTA - DM,[K] [MS] [CBO] [LEAD16]  [ESCALA] [MELHORES-PUBLICOS] - 20122025,AUTO_COLD_EMPODERAMENTO,AD02,199.82,8013.0,170.0,2.121552,0.768538,24.936977,152.0,1.314605,0.8941176470588236,6.0,33.303333,4.0,49.955,120239017564960546,120239017439270546,120239017439290546
CONTA - DM[2],[K] [MS] [CBO] [LEAD13] [97] [TESTE] [1-10] - MSAD260 (MSAD208 - E3) - 29012026,AUTO_COLD_PADRAO_INTERESSES_MISTO,MSAD260 (MSAD208 - E3),200.44,9928.0,125.0,1.259065,0.867706,20.189363,113.0,1.773805,0.904,8.0,25.055,4.0,50.11,120241857459990666,120241857459890666,120241857460000666
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-ADS] - 11122025,AUTO_PADRAO_INTERESSES_MISTO,MSAD 242 H3,250.65,7973.0,120.0,1.50508,1.377198,31.437351,119.0,2.106303,0.9916666666666667,9.0,27.85,5.0,50.13,120238980123250546,120238417247660546,120238417427910546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [MELHORES-PUBLICOS] - 27122025,AUTO_PADRAO_INTERESSES_MISTO,MSAD175,200.66,8686.0,355.0,4.087037,0.44991,23.101543,330.0,0.608061,0.9295774647887324,17.0,11.803529,4.0,50.165,120239501188980546,120239278136490546,120239278138940546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [MELHORES-PUBLICOS] - 02012026,AUTO_COLD_EMPODERAMENTO,MSAD241 h2,50.17,2153.0,26.0,1.207617,1.166744,23.302369,24.0,2.090417,0.9230769230769231,1.0,50.17,1.0,50.17,120239501152960546,120239500754610546,120239500755550546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-ADS] - 09122024,AUTO_HOT_180D,MSAD260 (MSAD208 - E3),804.62,20653.0,574.0,2.779257,0.903053,38.958989,522.0,1.541418,0.9094076655052264,38.0,21.174211,16.0,50.28875,120238305857100546,120238292469090546,120238305857150546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [INTERESSES_MISTO] - 05012026,AUTO_PADRAO_INTERESSES_MISTO,MSAD175,151.57,6601.0,244.0,3.69641,0.470714,22.961672,233.0,0.650515,0.9549180327868853,11.0,13.779091,3.0,50.523333,120239605109400546,120239604933750546,120239604936170546
CONTA - DM,[K] [MS] [CBO] [LEAD13] [ESCALA] [MELHORES-PUBLICOS] - 27122025,AUTO_COLD_EMPODERAMENTO,MSAD175,101.07,4047.0,127.0,3.138127,0.564637,24.974055,122.0,0.828443,0.9606299212598425,9.0,11.23,2.0,50.535,120239525413080546,120239278136490546,120239525413030546
CONTA - DM,[K] [MS] [CBO] [LEAD13]  [ESCALA] [MELHORES-ADS] - 11122025,AUTO_PADRAO_INTERESSES_MISTO,MSAD274 hook 3,303.74,8295.0,116.0,1.398433,1.725795,36.617239,116.0,2.618448,1.0,6.0,50.623333,6.0,50.623333,120239086084230546,120238417247660546,120238417427910546
